"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/7ObVh""]
[Themes ""mate mateIn2 middlegame sacrifice short""]
[FEN ""1r1k3r/p1p1bQpp/1p1p4/1BnP2q1/8/8/PPP2PPP/1K1RR3 b - - 2 19""]
[SetUp ""1""]

19... Rf8 20. Qxf8+ Bxf8 21. Re8# *",mate mateIn2 middlegame sacrifice short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/cn9R8""]
[Themes ""endgame mate mateIn2 sacrifice short""]
[FEN ""6k1/5ppp/4p3/8/1P1q4/P3rP1b/Q3B2P/5R1K w - - 4 28""]
[SetUp ""1""]

28. Rd1 Qxd1+ 29. Bxd1 Re1# *",endgame mate mateIn2 sacrifice short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/5XNja""]
[Themes ""attraction crushing fork long middlegame sacrifice""]
[FEN ""r4r1k/1pq1n1p1/p1p1b2p/8/3QR2N/1P3N2/P5PP/R5K1 b - - 0 23""]
[SetUp ""1""]

23... Bd5 24. Rxe7 Qxe7 25. Ng6+ Kh7 26. Nxe7 *",attraction crushing fork long middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/DkO8O""]
[Themes ""attraction mate mateIn2 middlegame sacrifice short""]
[FEN ""r5rk/B4p1p/5PnQ/3qpR2/3P2P1/2p4P/P3R3/6K1 b - - 3 33""]
[SetUp ""1""]

33... Rxa7 34. Qxh7+ Kxh7 35. Rh5# *",attraction mate mateIn2 middlegame sacrifice short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/Vykwr""]
[Themes ""advantage attraction fork long middlegame sacrifice""]
[FEN ""4rr1k/p5pp/1p6/7q/1PPR2n1/P2Q1NP1/5PK1/5R2 w - - 1 28""]
[SetUp ""1""]

28. Rh1 Qxh1+ 29. Kxh1 Nxf2+ 30. Kh2 Nxd3 *",advantage attraction fork long middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/kgDMS""]
[Themes ""deflection endgame long mate mateIn3 sacrifice""]
[FEN ""6k1/pp2Rp1p/3p1npQ/3q2N1/8/P6P/1P3PPK/2r5 b - - 2 24""]
[SetUp ""1""]

24... Qd1 25. Re8+ Nxe8 26. Qxh7+ Kf8 27. Qxf7# *",deflection endgame long mate mateIn3 sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/c84wT""]
[Themes ""backRankMate long mate mateIn3 middlegame sacrifice""]
[FEN ""1r4k1/p1pQ2pp/4pq2/n7/1r4PP/2B5/2P5/3K1R1R b - - 0 28""]
[SetUp ""1""]

28... Qxc3 29. Qf7+ Kh8 30. Qf8+ Rxf8 31. Rxf8# *",backRankMate long mate mateIn3 middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/UVZDH""]
[Themes ""kingsideAttack long mate mateIn3 middlegame sacrifice""]
[FEN ""r4rk1/ppp2q1p/2p3pn/3bR1B1/3P2Q1/2P5/PP3PPP/4R1K1 w - - 9 25""]
[SetUp ""1""]

25. Bxh6 Qxf2+ 26. Kh1 Qf1+ 27. Rxf1 Rxf1# *",kingsideAttack long mate mateIn3 middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/BK6pv""]
[Themes ""advantage endgame fork long sacrifice""]
[FEN ""2r1r1k1/1p3pp1/p6p/P1bRp3/4P3/5N1P/5PP1/R5K1 w - - 1 24""]
[SetUp ""1""]

24. Nxe5 Rxe5 25. Rxe5 Bd4 26. Rd5 Bxa1 *",advantage endgame fork long sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/p911N""]
[Themes ""advantage endgame long sacrifice""]
[FEN ""rr4k1/2p2pp1/8/p4Q2/3R3P/q7/1PP2P2/1K4R1 w - - 2 27""]
[SetUp ""1""]

27. b3 Rxb3+ 28. cxb3 Qxb3+ 29. Kc1 Qc3+ *",advantage endgame long sacrifice
