"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/phH46""]
[Themes ""advantage deflection fork long middlegame""]
[FEN ""rnb1nr1k/1p2bpp1/p3p3/4N3/2Pq1P1P/2NBp3/PP2Q1P1/R3K2R b KQ - 2 16""]
[SetUp ""1""]

16... Qxf4 17. Qh5+ Qh6 18. Nxf7+ Rxf7 19. Qxf7 *",advantage deflection fork long middlegame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/9ucY2""]
[Themes ""crushing deflection endgame long""]
[FEN ""8/8/p4k2/1pq1p3/2p1PPbP/2P5/PPBQ3K/8 w - - 0 49""]
[SetUp ""1""]

49. Kg3 Qg1+ 50. Qg2 exf4+ 51. Kxf4 Qxg2 *",crushing deflection endgame long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/M013S""]
[Themes ""advantage deflection endgame short""]
[FEN ""3r4/p4pkp/1p3N2/2p1r3/6P1/2PB4/PPK3P1/7R w - - 2 26""]
[SetUp ""1""]

26. Ne4 c4 27. Bxc4 Rxe4 *",advantage deflection endgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/0Dedk""]
[Themes ""advantage deflection endgame short""]
[FEN ""8/6r1/p2R2nk/1p3Q1p/7P/6P1/P4PK1/2q5 b - - 0 42""]
[SetUp ""1""]

42... Qc7 43. Qg5+ Kh7 44. Qxh5+ *",advantage deflection endgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/0pPMf""]
[Themes ""backRankMate deflection endgame mate mateIn2 short""]
[FEN ""5rk1/ppp3pp/3p4/3Pp3/2PnNP2/8/PP4PP/5RK1 w - - 1 22""]
[SetUp ""1""]

22. fxe5 Ne2+ 23. Kh1 Rxf1# *",backRankMate deflection endgame mate mateIn2 short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/RXrpt""]
[Themes ""crushing deflection endgame short""]
[FEN ""2k5/1r3pp1/3p1r2/3P4/P1KP2p1/4q3/1P4P1/2RQ3R w - - 3 32""]
[SetUp ""1""]

32. Qd3 Rc7+ 33. Kb4 Qxd3 *",crushing deflection endgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/SQJG1""]
[Themes ""advancedPawn advantage deflection endgame exposedKing long""]
[FEN ""7r/pp1n1k2/2p5/6Pp/3P3P/2P2P2/P1P1R3/2K5 b - - 2 24""]
[SetUp ""1""]

24... Re8 25. g6+ Kf8 26. g7+ Kxg7 27. Rxe8 *",advancedPawn advantage deflection endgame exposedKing long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/v4EdZ""]
[Themes ""attraction crushing deflection endgame long""]
[FEN ""6k1/5pq1/4p1p1/3pP3/3Pr3/7R/Q5PK/8 b - - 11 46""]
[SetUp ""1""]

46... Rxd4 47. Qa8+ Qf8 48. Rh8+ Kxh8 49. Qxf8+ *",attraction crushing deflection endgame long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/pePoT""]
[Themes ""advantage deflection endgame short""]
[FEN ""4r1k1/5pp1/8/5q2/1Q5p/6P1/P4P1P/1R4K1 w - - 2 32""]
[SetUp ""1""]

32. Qb5 Re1+ 33. Rxe1 Qxb5 *",advantage deflection endgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/iv5eR""]
[Themes ""deflection endgame mate mateIn2 short""]
[FEN ""2r3k1/6p1/7p/1P2p3/pq1pR3/1r1P2P1/1KP1Q1P1/2R5 w - - 0 34""]
[SetUp ""1""]

34. cxb3 Qxb3+ 35. Ka1 Rxc1# *",deflection endgame mate mateIn2 short
