"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/gB9MP""]
[Themes ""advancedPawn crushing endgame long promotion queenEndgame""]
[FEN ""2k2K2/2p1P1P1/5P2/8/2q5/8/2p5/8 b - - 8 56""]
[SetUp ""1""]

56... Qc6 57. e8=Q+ Qxe8+ 58. Kxe8 c1=Q 59. g8=Q *",advancedPawn crushing endgame long promotion queenEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/A3fie""]
[Themes ""crushing endgame long queenEndgame skewer""]
[FEN ""2Q3k1/3K2pp/8/p7/P7/8/8/5q2 b - - 0 48""]
[SetUp ""1""]

48... Kf7 49. Qe8+ Kf6 50. Qf8+ Ke5 51. Qxf1 *",crushing endgame long queenEndgame skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/rhbJ9""]
[Themes ""crushing endgame queenEndgame short skewer""]
[FEN ""4q3/5p1k/6p1/p2Q3p/2P4P/PPK2P2/5P2/8 w - - 0 41""]
[SetUp ""1""]

41. Qxa5 Qe1+ 42. Kd3 Qxa5 *",crushing endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/vLorJ""]
[Themes ""advancedPawn crushing endgame queenEndgame short""]
[FEN ""8/8/PQ2p1pk/4p2p/2q5/1p4PP/5P1K/8 b - - 0 45""]
[SetUp ""1""]

45... Qd4 46. Qxd4 exd4 47. a7 *",advancedPawn crushing endgame queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/b2qOZ""]
[Themes ""crushing endgame queenEndgame short""]
[FEN ""7Q/8/2pK4/1k6/3P4/4q3/8/8 b - - 6 52""]
[SetUp ""1""]

52... Qf4+ 53. Qe5+ Qxe5+ 54. dxe5 *",crushing endgame queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/D2D76""]
[Themes ""advancedPawn crushing endgame queenEndgame veryLong""]
[FEN ""8/1p3p1k/2p2Ppp/p3Q3/P7/KP3P2/5q2/8 b - - 2 35""]
[SetUp ""1""]

35... Qxf3 36. Qe7 h5 37. Qxf7+ Kh6 38. Qg7+ Kg5 39. f7 *",advancedPawn crushing endgame queenEndgame veryLong
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/LnyuL""]
[Themes ""crushing endgame queenEndgame short skewer""]
[FEN ""4Q3/8/8/3K1p2/3P1P2/5P2/q7/2k5 w - - 1 85""]
[SetUp ""1""]

85. Ke5 Qe2+ 86. Kd6 Qxe8 *",crushing endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/k9oxy""]
[Themes ""crushing endgame queenEndgame short skewer""]
[FEN ""6k1/5qpp/2P2p2/p2Kp3/P3P3/3PQ1P1/7P/8 w - - 1 47""]
[SetUp ""1""]

47. Kc5 Qa7+ 48. Kd5 Qxe3 *",crushing endgame queenEndgame short skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/WAIok""]
[Themes ""crushing endgame queenEndgame short""]
[FEN ""Q4K2/8/8/1P6/5pP1/3k1P2/8/4q3 w - - 0 67""]
[SetUp ""1""]

67. Qe4+ Qxe4 68. fxe4 f3 *",crushing endgame queenEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/nx5JO""]
[Themes ""advancedPawn crushing endgame queenEndgame veryLong""]
[FEN ""8/8/4p2k/3p2q1/P1pP2Qp/4P3/1P3P2/1K6 w - - 0 43""]
[SetUp ""1""]

43. Qxe6+ Qg6+ 44. Qxg6+ Kxg6 45. a5 h3 46. Kc2 h2 *",advancedPawn crushing endgame queenEndgame veryLong
