"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/UK3g3""]
[Themes ""endgame mate mateIn2 short""]
[FEN ""8/R2n2R1/5p1k/1pB2b2/8/Q7/2Pq4/1K6 w - - 0 51""]
[SetUp ""1""]

51. Rgxd7 Qxc2+ 52. Ka1 Qb1# *",endgame mate mateIn2 short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/WpX0j""]
[Themes ""endgame mate mateIn2 rookEndgame short""]
[FEN ""8/R5R1/6p1/P1K2p2/4r1kP/6P1/2r5/8 w - - 4 48""]
[SetUp ""1""]

48. Kb6 Rb4+ 49. Ka6 Rc6# *",endgame mate mateIn2 rookEndgame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/7OK7f""]
[Themes ""endgame mate mateIn1 oneMove""]
[FEN ""2Q1kbnr/p4ppp/4p3/8/q7/4P3/PPP3PP/3R2K1 b - - 3 18""]
[SetUp ""1""]

18... Ke7 19. Qd8# *",endgame mate mateIn1 oneMove
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/x73Cw""]
[Themes ""endgame long mate mateIn3""]
[FEN ""2r5/p5bk/1q4pp/2R5/PPQ1p1n1/6P1/4PPBP/6K1 w - - 5 33""]
[SetUp ""1""]

33. Rxc8 Qxf2+ 34. Kh1 Qe1+ 35. Bf1 Qxf1# *",endgame long mate mateIn3
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/MOU5h""]
[Themes ""discoveredAttack kingsideAttack long mate mateIn3 middlegame sacrifice""]
[FEN ""5rk1/ppb2rpp/2p5/8/4Nq2/1PQP1N1P/PBP3P1/5R1K w - - 7 24""]
[SetUp ""1""]

24. a4 Qh2+ 25. Nxh2 Rxf1+ 26. Nxf1 Rxf1# *",discoveredAttack kingsideAttack long mate mateIn3 middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/hywOA""]
[Themes ""mate mateIn2 middlegame short xRayAttack""]
[FEN ""3Q2kr/4r1pp/b1p3q1/8/5R2/8/PpP2PPP/4R1K1 b - - 1 22""]
[SetUp ""1""]

22... Qe8 23. Qxe8+ Rxe8 24. Rxe8# *",mate mateIn2 middlegame short xRayAttack
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/igMfX""]
[Themes ""advancedPawn endgame exposedKing fork long mate mateIn3 promotion queenRookEndgame""]
[FEN ""5rk1/6r1/1p1R4/1Pp5/p1P5/P5pq/4QpP1/5R1K w - - 0 41""]
[SetUp ""1""]

41. gxh3 g2+ 42. Kh2 g1=Q+ 43. Rxg1 fxg1=Q# *",advancedPawn endgame exposedKing fork long mate mateIn3 promotion queenRookEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/dzzXH""]
[Themes ""mate mateIn2 middlegame short""]
[FEN ""r2qk2r/1p2ppbp/2n5/p2pN3/3PpP2/P3P3/1P4PP/R1BQ1RK1 b kq - 1 13""]
[SetUp ""1""]

13... f6 14. Qh5+ Kf8 15. Qf7# *",mate mateIn2 middlegame short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/xcBmu""]
[Themes ""endgame mate mateIn2 short""]
[FEN ""8/3pkp2/p1b1p3/P5q1/1p1P4/6Pr/1P2QP1K/R4R2 w - - 0 26""]
[SetUp ""1""]

26. Kxh3 Qh6+ 27. Qh5 Qxh5# *",endgame mate mateIn2 short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/ZtgGW""]
[Themes ""long mate mateIn3 middlegame sacrifice""]
[FEN ""r4k1r/3p1pp1/pbb5/1p3qNp/1P1p4/P5PP/2P1QP2/R1B1R1K1 b - - 2 20""]
[SetUp ""1""]

20... Qd5 21. Qe7+ Kg8 22. Qe8+ Rxe8 23. Rxe8# *",long mate mateIn3 middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/L4OGk""]
[Themes ""endgame mate mateIn2 pin short""]
[FEN ""2kr4/1p6/p1b2R2/Q3pP2/8/P2q3P/1P4P1/1R5K w - - 0 37""]
[SetUp ""1""]

37. Qe1 Qxh3+ 38. Kg1 Qxg2# *",endgame mate mateIn2 pin short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/xBWGf""]
[Themes ""endgame fork mate mateIn2 short""]
[FEN ""3r2k1/R1Q4p/5p2/2Pp4/3Pq3/3b1N2/5P2/4K3 w - - 4 38""]
[SetUp ""1""]

38. Kd1 Qe2+ 39. Kc1 Qc2# *",endgame fork mate mateIn2 short
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/sM9oU""]
[Themes ""endgame mate mateIn2 short""]
[FEN ""4k3/4P2p/b2P4/p2P3n/8/2p5/P7/5RK1 b - - 0 39""]
[SetUp ""1""]

39... Ng7 40. Rf8+ Kd7 41. Rd8# *",endgame mate mateIn2 short
