"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/ZtgGW""]
[Themes ""long mate mateIn3 middlegame sacrifice""]
[FEN ""r4k1r/3p1pp1/pbb5/1p3qNp/1P1p4/P5PP/2P1QP2/R1B1R1K1 b - - 2 20""]
[SetUp ""1""]

20... Qd5 21. Qe7+ Kg8 22. Qe8+ Rxe8 23. Rxe8# *",long mate mateIn3 middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/iG199""]
[Themes ""attraction long mate mateIn3 middlegame""]
[FEN ""R1b2rk1/6pp/2P1B3/5p2/4n1NQ/2P2qP1/1P3P1P/6K1 b - - 0 32""]
[SetUp ""1""]

32... Bxe6 33. Rxf8+ Kxf8 34. Qd8+ Kf7 35. Ne5# *",attraction long mate mateIn3 middlegame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/xhJBV""]
[Themes ""advantage hangingPiece long middlegame""]
[FEN ""1r6/3b2kp/pp1n2p1/2p1pr2/P1B5/4N2P/1P3PP1/3RR1K1 b - - 1 25""]
[SetUp ""1""]

25... Nxc4 26. Rxd7+ Rf7 27. Rxf7+ Kxf7 28. Nxc4 *",advantage hangingPiece long middlegame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/AzkOu""]
[Themes ""long mate mateIn3 middlegame sacrifice""]
[FEN ""3r2k1/6p1/p3p2p/1p2n2Q/4B1R1/2q5/3r2PP/5RK1 b - - 5 27""]
[SetUp ""1""]

27... Nxg4 28. Qf7+ Kh8 29. Qf8+ Rxf8 30. Rxf8# *",long mate mateIn3 middlegame sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/K52ks""]
[Themes ""advantage fork long middlegame""]
[FEN ""r1bq1b1k/1p3QpB/p1p5/P1Ppr3/5Bn1/2N1P3/1P3PPP/R3K2R b KQ - 0 16""]
[SetUp ""1""]

16... Kxh7 17. Bxe5 Nxe5 18. Qh5+ Kg8 19. Qxe5 *",advantage fork long middlegame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/OG9Jh""]
[Themes ""advancedPawn crushing endgame long rookEndgame""]
[FEN ""2r3k1/5p2/6pp/1pP5/8/3pP2P/5PP1/1R4K1 w - - 1 36""]
[SetUp ""1""]

36. Rxb5 d2 37. Rb1 Rxc5 38. Kh2 Rc1 *",advancedPawn crushing endgame long rookEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/RWyCZ""]
[Themes ""crushing long middlegame skewer""]
[FEN ""5r2/4q1p1/pk2p1p1/1pPrPpP1/P1p3nP/2P2N2/5P2/R1Q2K2 b - - 0 31""]
[SetUp ""1""]

31... Kxc5 32. Qa3+ b4 33. Qxb4+ Kc6 34. Qxe7 *",crushing long middlegame skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/hzmVZ""]
[Themes ""advancedPawn crushing endgame long promotion rookEndgame""]
[FEN ""8/8/4kp2/1R6/2p1K1P1/8/3p4/8 w - - 0 51""]
[SetUp ""1""]

51. Rd5 c3 52. Rd4 c2 53. Rxd2 c1=Q *",advancedPawn crushing endgame long promotion rookEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/Iq06B""]
[Themes ""crushing endgame exposedKing long rookEndgame skewer""]
[FEN ""8/8/8/8/2k5/8/2K3r1/R7 w - - 43 91""]
[SetUp ""1""]

91. Kb1 Kb3 92. Kc1 Rg1+ 93. Kd2 Rxa1 *",crushing endgame exposedKing long rookEndgame skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/x95VK""]
[Themes ""advancedPawn crushing endgame long promotion""]
[FEN ""8/2k4b/4p3/6PP/1p6/5P2/p1pK4/2N5 w - - 0 46""]
[SetUp ""1""]

46. Nxa2 b3 47. Nb4 b2 48. Nxc2 b1=Q *",advancedPawn crushing endgame long promotion
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/OVNEx""]
[Themes ""crushing deflection endgame long""]
[FEN ""6k1/ppQ2pp1/4bb1p/P2p4/8/1q3N1P/2B2PP1/6K1 b - - 3 26""]
[SetUp ""1""]

26... Qb4 27. Qb8+ Qf8 28. Bh7+ Kxh7 29. Qxf8 *",crushing deflection endgame long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/2psaP""]
[Themes ""crushing endgame long""]
[FEN ""1R6/5p1k/4p1pp/1b6/4B3/1rP1P3/6PP/6K1 w - - 2 35""]
[SetUp ""1""]

35. Bc6 Rb1+ 36. Kf2 Rf1+ 37. Kg3 Bxc6 *",crushing endgame long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/cVZFj""]
[Themes ""crushing endgame fork long sacrifice""]
[FEN ""3r4/1p3k1p/p4p2/3pbNp1/6P1/PPPK1P1P/4R3/8 b - - 1 33""]
[SetUp ""1""]

33... Rc8 34. Rxe5 fxe5 35. Nd6+ Ke6 36. Nxc8 *",crushing endgame fork long sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/kpku4""]
[Themes ""advantage discoveredAttack endgame long""]
[FEN ""1r4k1/2p3pp/3b1p2/4p3/q1PpP1PN/1p1P3P/1Q3P2/1R4K1 b - - 3 26""]
[SetUp ""1""]

26... Qa2 27. Qxa2 bxa2 28. Rxb8+ Kf7 29. Ra8 *",advantage discoveredAttack endgame long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/3F12F""]
[Themes ""crushing defensiveMove endgame fork long""]
[FEN ""r5k1/2p2ppp/4q3/1NPp1b2/3Qp3/4P3/5PPP/4R1K1 b - - 0 22""]
[SetUp ""1""]

22... c6 23. Nc7 Qg6 24. Nxa8 Bh3 25. g3 *",crushing defensiveMove endgame fork long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/gtHIX""]
[Themes ""crushing endgame long queenRookEndgame skewer""]
[FEN ""8/6pk/5p1p/5K2/4Q1PP/8/8/r7 w - - 31 69""]
[SetUp ""1""]

69. Qe8 Rf1+ 70. Ke6 Re1+ 71. Kd7 Rxe8 *",crushing endgame long queenRookEndgame skewer
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/LGX8C""]
[Themes ""advantage endgame long""]
[FEN ""7k/6p1/Bpbp2Qp/8/6P1/P1b4P/2Pq1P2/1K2R3 w - - 11 36""]
[SetUp ""1""]

36. Qe8+ Bxe8 37. Rxe8+ Kh7 38. Bd3+ g6 *",advantage endgame long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/OGe6T""]
[Themes ""crushing endgame long pawnEndgame""]
[FEN ""8/7p/6p1/8/3k2P1/p4K1P/P7/8 w - - 5 42""]
[SetUp ""1""]

42. h4 Kc3 43. Ke4 Kb2 44. Kd3 Kxa2 *",crushing endgame long pawnEndgame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/58gOr""]
[Themes ""crushing defensiveMove endgame long""]
[FEN ""8/2n5/3p1k1p/p1pB4/2P1Kp2/1P4P1/7P/8 w - - 0 38""]
[SetUp ""1""]

38. Kxf4 Nxd5+ 39. cxd5 c4 40. bxc4 a4 *",crushing defensiveMove endgame long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/BUzc6""]
[Themes ""attraction crushing endgame fork long""]
[FEN ""2r5/R5kp/2r3p1/5p2/5N2/5PKP/6P1/8 b - - 5 39""]
[SetUp ""1""]

39... R8c7 40. Rxc7+ Rxc7 41. Ne6+ Kf6 42. Nxc7 *",attraction crushing endgame fork long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/XahmW""]
[Themes ""advantage fork long middlegame""]
[FEN ""b2r1rk1/5pp1/1p1Np2p/8/P1Pn4/R2P2Q1/5PPP/3R2K1 w - - 9 33""]
[SetUp ""1""]

33. a5 Ne2+ 34. Kf1 Nxg3+ 35. hxg3 Rxd6 *",advantage fork long middlegame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/wJhU3""]
[Themes ""crushing endgame fork long""]
[FEN ""8/8/pp2q1k1/2p2Rp1/2P1p1P1/1P2Pn2/P3Q1K1/8 w - - 3 43""]
[SetUp ""1""]

43. Qf1 Nh4+ 44. Kh2 Nxf5 45. gxf5+ Qxf5 *",crushing endgame fork long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/Nf0yq""]
[Themes ""discoveredAttack kingsideAttack long mate mateIn3 middlegame""]
[FEN ""r2k3r/pp6/2p1pN2/3p3p/3P3q/2P1P3/PP1BQ1Pb/R4R1K w - - 3 21""]
[SetUp ""1""]

21. Rf3 Bg3+ 22. Kg1 Qh2+ 23. Kf1 Qh1# *",discoveredAttack kingsideAttack long mate mateIn3 middlegame
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/zicwD""]
[Themes ""crushing endgame fork long""]
[FEN ""8/5pk1/1p2p2p/p3N1q1/3P4/1P2PQ1P/r5PK/8 b - - 5 37""]
[SetUp ""1""]

37... f6 38. Qb7+ Kh8 39. Nf7+ Kg8 40. Nxg5 *",crushing endgame fork long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/HHF3q""]
[Themes ""attraction endgame long mate mateIn3 sacrifice""]
[FEN ""7k/6pp/p2r3r/3p1p2/2PPq3/P3P1PP/1P2QP1K/2R1R3 w - - 3 38""]
[SetUp ""1""]

38. cxd5 Rxh3+ 39. Kxh3 Rh6+ 40. Qh5 Rxh5# *",attraction endgame long mate mateIn3 sacrifice
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/T7mOv""]
[Themes ""advantage endgame fork long""]
[FEN ""5rk1/1p3ppp/p1p5/2Pp4/1P6/P1N3qP/4Q3/4RK2 w - - 0 30""]
[SetUp ""1""]

30. Qe3 Qxe3 31. Rxe3 d4 32. Rd3 dxc3 *",advantage endgame fork long
"[Event ""Puzzle""]
[Site ""https://www.lichess.org/training/eK2hU""]
[Themes ""advantage endgame long""]
[FEN ""1k6/pp4r1/1p6/3p3R/2nPp1p1/1Pq1P1P1/P1P2P2/1KQR4 w - - 0 33""]
[SetUp ""1""]

33. Rdh1 Nd2+ 34. Qxd2 Qxd2 35. Rh8+ Kc7 *",advantage endgame long
